EndpointGroup,Endpoint,Pollutant,Metric,Seasonal Metric,Statistic,Study Author,Study Year,Study Location,Other Pollutants,Qualifier,Race,Ethnicity,Gender,Start Age,End Age,Function,Incidence DataSet,Prevalence DataSet,Variable DataSet,Beta,Distribution Beta,Parameter 1 Beta,Parameter 2 Beta,A,Name A,B,Name B,C,Name C,Baseline Functional Form,Reference
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Babin et al.,2007,"Washington, DC",,0 day/Asthma Def #2,,,,5,12,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.003149867,Normal,0.000889981,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",PM2.5,D24HourMean,,None,Babin et al.,2007,"Washington, DC",,0 day/Asthma Def #2,,,,5,12,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,-0.002002003,Normal,0.002044917,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Hospital Admissions, Respiratory","HA, Asthma",Ozone,D8HourMax,,None,Babin et al.,2007,"Washington, DC",,0 day/Asthma Def #2,,,,1,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.004401689,Normal,0.001928518,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Hospital Admissions, Respiratory","HA, Asthma",PM2.5,D24HourMean,,None,Babin et al.,2007,"Washington, DC",,0 day/Asthma Def #2,,,,1,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.001998003,Normal,0.004326024,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Hospital Admissions, Respiratory","HA, Asthma",Ozone,D8HourMax,,None,Babin et al.,2007,"Washington, DC",,0 day/Asthma Def #2,,,,5,12,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.007973497,Normal,0.002777121,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Hospital Admissions, Respiratory","HA, Asthma",PM2.5,D24HourMean,,None,Babin et al.,2007,"Washington, DC",,0 day/Asthma Def #2,,,,5,12,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,-0.004008021,Normal,0.006147335,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Babin et al.,2007,"Washington, DC",,0 day/Asthma Def #2,,,,1,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.000995033,Normal,0.00055569,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Babin et al.,2007,"Washington, DC",,1 day/Asthma Def #2,,,,1,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,1.00E-04,Normal,0.000560686,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Babin et al.,2007,"Washington, DC",,2 day/Asthma Def #2,,,,1,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,-0.0002002,Normal,0.000562372,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",Ozone,D8HourMax,,None,Babin et al.,2007,"Washington, DC",,3 day/Asthma Def #2,,,,1,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,,,,0.000299551,Normal,0.000584714,0,0,0,0,0,0,0,Incidence*POP,"Babin, S. M., H. S. Burkom, R. S. Holtry, N. R. Tabernero, L. D. Stokes, J. O. Davies-Cole, K. DeHaan and D. H. Lee. 2007. Pediatric patient asthma-related emergency department visits and admissions in Washington, DC, from 2001-2004, and associations with air quality, socio-economic status and age group. Environ Health. Vol. 6: 9. "
