Col,Row,Year,Race,Gender,Ethnicity,AgeRange,Population
46030,1,2010,ALL,ALL,ALL,INFANT,38
46030,1,2010,ALL,ALL,ALL,1TO4,183
46030,1,2010,ALL,ALL,ALL,FIVE,35
46030,1,2010,ALL,ALL,ALL,6TO12,349
46030,1,2010,ALL,ALL,ALL,13TO17,288
46030,1,2010,ALL,ALL,ALL,EIGHTEEN,49
46030,1,2010,ALL,ALL,ALL,19TO64,1935
46030,1,2010,ALL,ALL,ALL,65TO69,148
46030,1,2010,ALL,ALL,ALL,70TO74,114
46030,1,2010,ALL,ALL,ALL,75UP,169
46031,1,2010,ALL,ALL,ALL,INFANT,18
46031,1,2010,ALL,ALL,ALL,1TO4,93
46031,1,2010,ALL,ALL,ALL,FIVE,31
46031,1,2010,ALL,ALL,ALL,6TO12,238
46031,1,2010,ALL,ALL,ALL,13TO17,193
46031,1,2010,ALL,ALL,ALL,EIGHTEEN,41
46031,1,2010,ALL,ALL,ALL,19TO64,1288
46031,1,2010,ALL,ALL,ALL,65TO69,89
46031,1,2010,ALL,ALL,ALL,70TO74,62
46031,1,2010,ALL,ALL,ALL,75UP,108
46032,1,2010,ALL,ALL,ALL,INFANT,465
46032,1,2010,ALL,ALL,ALL,1TO4,2157
46032,1,2010,ALL,ALL,ALL,FIVE,596
46032,1,2010,ALL,ALL,ALL,6TO12,4839
46032,1,2010,ALL,ALL,ALL,13TO17,3525
46032,1,2010,ALL,ALL,ALL,EIGHTEEN,619
46032,1,2010,ALL,ALL,ALL,19TO64,25622
46032,1,2010,ALL,ALL,ALL,65TO69,1424
46032,1,2010,ALL,ALL,ALL,70TO74,874
46032,1,2010,ALL,ALL,ALL,75UP,2113
46033,1,2010,ALL,ALL,ALL,INFANT,355
46033,1,2010,ALL,ALL,ALL,1TO4,1767
46033,1,2010,ALL,ALL,ALL,FIVE,557
46033,1,2010,ALL,ALL,ALL,6TO12,4633
46033,1,2010,ALL,ALL,ALL,13TO17,3401
46033,1,2010,ALL,ALL,ALL,EIGHTEEN,545
46033,1,2010,ALL,ALL,ALL,19TO64,19938
46033,1,2010,ALL,ALL,ALL,65TO69,1433
46033,1,2010,ALL,ALL,ALL,70TO74,936
46033,1,2010,ALL,ALL,ALL,75UP,1324
46034,1,2010,ALL,ALL,ALL,INFANT,78
46034,1,2010,ALL,ALL,ALL,1TO4,335
46034,1,2010,ALL,ALL,ALL,FIVE,87
46034,1,2010,ALL,ALL,ALL,6TO12,675
46034,1,2010,ALL,ALL,ALL,13TO17,518
46034,1,2010,ALL,ALL,ALL,EIGHTEEN,101
46034,1,2010,ALL,ALL,ALL,19TO64,4148
46034,1,2010,ALL,ALL,ALL,65TO69,280
46034,1,2010,ALL,ALL,ALL,70TO74,227
46034,1,2010,ALL,ALL,ALL,75UP,281
46035,1,2010,ALL,ALL,ALL,INFANT,10
46035,1,2010,ALL,ALL,ALL,1TO4,61
46035,1,2010,ALL,ALL,ALL,FIVE,12
46035,1,2010,ALL,ALL,ALL,6TO12,112
46035,1,2010,ALL,ALL,ALL,13TO17,86
46035,1,2010,ALL,ALL,ALL,EIGHTEEN,18
46035,1,2010,ALL,ALL,ALL,19TO64,656
46035,1,2010,ALL,ALL,ALL,65TO69,46
46035,1,2010,ALL,ALL,ALL,70TO74,46
46035,1,2010,ALL,ALL,ALL,75UP,66
46037,1,2010,ALL,ALL,ALL,INFANT,619
46037,1,2010,ALL,ALL,ALL,1TO4,2859
46037,1,2010,ALL,ALL,ALL,FIVE,783
46037,1,2010,ALL,ALL,ALL,6TO12,5262
46037,1,2010,ALL,ALL,ALL,13TO17,2996
46037,1,2010,ALL,ALL,ALL,EIGHTEEN,441
46037,1,2010,ALL,ALL,ALL,19TO64,20978
46037,1,2010,ALL,ALL,ALL,65TO69,784
46037,1,2010,ALL,ALL,ALL,70TO74,491
46037,1,2010,ALL,ALL,ALL,75UP,678
46038,1,2010,ALL,ALL,ALL,INFANT,570
46038,1,2010,ALL,ALL,ALL,1TO4,2417
46038,1,2010,ALL,ALL,ALL,FIVE,644
46038,1,2010,ALL,ALL,ALL,6TO12,4565
46038,1,2010,ALL,ALL,ALL,13TO17,2952
46038,1,2010,ALL,ALL,ALL,EIGHTEEN,477
46038,1,2010,ALL,ALL,ALL,19TO64,23699
46038,1,2010,ALL,ALL,ALL,65TO69,848
46038,1,2010,ALL,ALL,ALL,70TO74,557
46038,1,2010,ALL,ALL,ALL,75UP,994
46040,1,2010,ALL,ALL,ALL,INFANT,134
46040,1,2010,ALL,ALL,ALL,1TO4,607
46040,1,2010,ALL,ALL,ALL,FIVE,188
46040,1,2010,ALL,ALL,ALL,6TO12,1358
46040,1,2010,ALL,ALL,ALL,13TO17,820
46040,1,2010,ALL,ALL,ALL,EIGHTEEN,134
46040,1,2010,ALL,ALL,ALL,19TO64,5763
46040,1,2010,ALL,ALL,ALL,65TO69,319
46040,1,2010,ALL,ALL,ALL,70TO74,254
46040,1,2010,ALL,ALL,ALL,75UP,367
46050,1,2010,ALL,ALL,ALL,INFANT,31
46050,1,2010,ALL,ALL,ALL,1TO4,99
46050,1,2010,ALL,ALL,ALL,FIVE,16
46050,1,2010,ALL,ALL,ALL,6TO12,205
46050,1,2010,ALL,ALL,ALL,13TO17,122
46050,1,2010,ALL,ALL,ALL,EIGHTEEN,22
46050,1,2010,ALL,ALL,ALL,19TO64,992
46050,1,2010,ALL,ALL,ALL,65TO69,75
46050,1,2010,ALL,ALL,ALL,70TO74,57
46050,1,2010,ALL,ALL,ALL,75UP,87
46052,1,2010,ALL,ALL,ALL,INFANT,291
46052,1,2010,ALL,ALL,ALL,1TO4,1164
46052,1,2010,ALL,ALL,ALL,FIVE,285
46052,1,2010,ALL,ALL,ALL,6TO12,2071
46052,1,2010,ALL,ALL,ALL,13TO17,1586
46052,1,2010,ALL,ALL,ALL,EIGHTEEN,300
46052,1,2010,ALL,ALL,ALL,19TO64,13186
46052,1,2010,ALL,ALL,ALL,65TO69,923
46052,1,2010,ALL,ALL,ALL,70TO74,753
46052,1,2010,ALL,ALL,ALL,75UP,1501
46055,1,2010,ALL,ALL,ALL,INFANT,146
46055,1,2010,ALL,ALL,ALL,1TO4,672
46055,1,2010,ALL,ALL,ALL,FIVE,170
46055,1,2010,ALL,ALL,ALL,6TO12,1402
46055,1,2010,ALL,ALL,ALL,13TO17,926
46055,1,2010,ALL,ALL,ALL,EIGHTEEN,144
46055,1,2010,ALL,ALL,ALL,19TO64,6057
46055,1,2010,ALL,ALL,ALL,65TO69,266
46055,1,2010,ALL,ALL,ALL,70TO74,157
46055,1,2010,ALL,ALL,ALL,75UP,253
46056,1,2010,ALL,ALL,ALL,INFANT,23
46056,1,2010,ALL,ALL,ALL,1TO4,93
46056,1,2010,ALL,ALL,ALL,FIVE,27
46056,1,2010,ALL,ALL,ALL,6TO12,233
