Endpoint Group,Endpoint,Year,Race,Gender,Ethnicity,Start Age,End Age,Column,Row,Type,Value
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46030,1,Incidence,0.000121975
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46031,1,Incidence,0.000023656
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46032,1,Incidence,0.000021956
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46033,1,Incidence,0.000019082
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46034,1,Incidence,0.000021346
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46035,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46037,1,Incidence,0.000024176
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46038,1,Incidence,0.00003147
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46040,1,Incidence,0.000013858
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46050,1,Incidence,0.000063726
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46052,1,Incidence,0.000036042
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46055,1,Incidence,0.000030626
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46056,1,Incidence,0.000012391
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46060,1,Incidence,0.000068188
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46062,1,Incidence,0.000041535
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46064,1,Incidence,0.000038372
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46069,1,Incidence,0.000094357
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46071,1,Incidence,0.000016336
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46074,1,Incidence,0.000034427
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46075,1,Incidence,0.000011384
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46077,1,Incidence,0.000015558
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46105,1,Incidence,0.000014611
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46106,1,Incidence,0.000018261
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46107,1,Incidence,0.000135283
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46110,1,Incidence,0.000117516
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46112,1,Incidence,0.000022213
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46113,1,Incidence,0.000073074
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46115,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46117,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46118,1,Incidence,0.000023228
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46120,1,Incidence,0.000030902
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46121,1,Incidence,0.000036851
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46122,1,Incidence,0.00001647
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46123,1,Incidence,0.00002014
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46124,1,Incidence,0.000031315
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46126,1,Incidence,0.000062484
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46128,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46130,1,Incidence,0.000011456
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46131,1,Incidence,0.000032907
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46135,1,Incidence,0.000018511
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46140,1,Incidence,0.000022921
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46142,1,Incidence,0.000042012
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46143,1,Incidence,0.000031735
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46147,1,Incidence,0.00005576
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46149,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46150,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46151,1,Incidence,0.00004449
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46157,1,Incidence,0.000104468
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46158,1,Incidence,0.000095737
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46160,1,Incidence,0.000023946
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46161,1,Incidence,0.000032081
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46162,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46163,1,Incidence,0.000018496
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46164,1,Incidence,0.000014971
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46165,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46166,1,Incidence,0.000023707
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46167,1,Incidence,0.000025933
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46168,1,Incidence,0.000025053
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46171,1,Incidence,0.000017742
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46172,1,Incidence,0.000011651
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46175,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46176,1,Incidence,0.000072831
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46180,1,Incidence,0.000028167
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46181,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2010,,,,5,17,46182,1,Incidence,0.00001713
