Monitor Name,Monitor Description,Latitude,Longitude,Metric,Seasonal Metric,Statistic,Values
180110001,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.997484,-86.395172,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,40,41,52,42,22,45,53,50,25,41,42,50,66,45,45,43,46,51,55,50,52,49,48,49,57,62,57,64,71,65,72,78,73,68,85,55,60,76,77,61,54,63,52,75,76,44,46,61,75,44,42,47,41,33,51,54,65,69,51,35,48,43,40,33,20,45,52,59,78,72,74,68,96,74,37,63,64,80,90,59,46,58,52,68,81,76,82,84,77,70,51,48,29,50,44,51,61,45,62,64,41,43,50,63,69,70,71,48,69,72,66,64,66,63,50,43,56,57,53,59,73,80,50,54,47,52,79,71,74,46,51,50,57,60,55,62,42,45,57,38,39,49,62,48,52,46,44,54,50,71,56,45,35,66,60,51,58,70,45,43,33,38,54,63,67,33,41,57,63,41,43,51,47,50,60,31,23,42,31,23,37,49,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180570005,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",40.065194,-86.008061,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,40,42,52,52,21,49,55,51,29,43,45,51,66,45,46,46,47,53,52,51,54,49,49,53,57,61,53,61,65,68,74,82,76,58,77,55,60,71,77,58,53,62,47,74,62,43,40,59,72,42,43,44,40,30,49,51,61,65,48,31,46,43,38,30,21,40,55,57,69,73,78,68,103,78,36,65,60,83,88,53,51,54,51,64,69,71,78,80,74,72,51,44,27,51,43,51,66,50,59,70,42,42,49,64,72,75,75,44,64,72,79,74,81,74,57,43,55,49,53,61,71,96,63,55,.,.,89,68,77,49,58,55,62,59,55,64,42,47,62,41,38,59,67,47,54,51,42,55,51,57,60,49,38,60,65,52,50,77,50,48,38,38,50,54,59,31,42,53,62,46,43,50,45,50,62,30,22,44,29,20,34,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180570006,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",40.068297,-85.992451,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180590003,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.935008,-85.840513,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,43,40,52,53,17,48,53,47,32,46,46,47,64,40,46,44,46,56,55,51,52,50,45,56,54,57,54,63,63,67,71,81,76,62,86,55,58,73,77,58,49,63,56,73,56,43,37,58,75,42,40,48,41,30,53,51,62,62,43,37,41,42,38,28,23,36,50,52,67,73,81,71,102,81,36,65,60,86,91,39,51,52,49,64,71,73,78,79,69,66,51,45,25,53,42,50,63,47,54,73,39,41,49,63,83,77,79,44,66,70,71,70,76,79,57,47,59,44,53,68,89,86,69,49,52,52,87,73,102,50,52,56,62,59,57,66,40,44,56,42,35,56,63,41,55,49,40,61,44,55,57,42,35,57,73,51,49,75,47,44,35,33,46,56,58,33,44,55,64,47,39,47,44,51,61,27,21,39,26,18,33,39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180630004,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.758967,-86.397148,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,42,.,47,48,30,47,52,49,23,45,46,48,66,42,43,41,49,56,57,50,53,45,43,44,58,61,53,59,70,66,72,80,75,72,83,52,59,73,74,62,52,60,51,75,71,47,33,60,69,43,42,45,38,31,51,54,60,67,43,29,46,40,36,19,25,42,49,57,72,72,66,65,88,68,32,57,66,80,85,51,46,57,54,77,76,72,75,77,68,62,49,46,30,53,44,52,60,45,57,71,41,46,49,57,67,68,70,52,75,60,63,61,65,63,52,45,52,48,51,58,74,75,58,56,58,57,89,69,73,49,55,53,61,57,64,73,41,41,59,42,35,51,64,46,51,50,44,57,50,65,57,44,45,64,63,55,52,71,48,43,35,36,48,64,64,31,43,51,61,45,43,46,46,50,57,27,25,39,30,20,36,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180810002,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.417203,-86.152395,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,46,45,49,49,33,48,49,50,35,47,51,50,69,40,45,42,47,58,55,49,53,49,47,55,61,64,54,62,70,63,71,79,82,81,82,52,60,76,73,60,51,60,55,72,70,42,39,54,65,44,43,45,43,31,55,52,59,65,50,31,45,40,38,21,34,45,52,62,72,69,71,67,85,66,.,.,.,77,86,53,51,57,57,61,70,70,71,67,58,56,57,49,35,51,49,51,63,50,60,69,46,48,52,59,65,61,70,54,68,63,58,57,68,60,59,37,57,42,50,60,64,72,62,56,46,51,78,80,54,45,58,56,63,63,61,71,45,44,60,47,37,46,65,45,50,52,42,54,50,53,63,47,38,60,55,64,61,74,49,43,36,36,49,68,74,34,42,50,63,50,.,.,.,.,.,30,26,40,30,21,34,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180970050,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.858961,-86.021341,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,44,43,53,49,18,48,52,48,28,42,45,49,68,44,45,43,47,51,52,49,52,44,47,53,52,63,55,61,63,62,68,77,75,70,85,49,58,72,74,61,53,62,48,74,58,41,37,58,71,39,39,41,36,25,49,51,61,64,48,31,39,40,36,27,17,38,51,55,66,69,67,65,91,72,32,61,65,76,87,48,46,54,47,63,70,72,77,81,66,60,51,44,22,51,44,49,61,41,57,73,42,40,47,59,79,73,71,43,65,69,71,70,76,75,46,45,55,44,51,61,98,87,62,53,50,48,80,79,89,50,58,63,59,58,56,66,39,44,58,43,38,56,63,45,56,49,43,60,50,59,55,47,36,58,74,54,54,73,47,41,33,34,48,56,54,34,44,51,56,43,40,44,43,49,56,30,19,39,29,20,33,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180970057,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.749019,-86.186314,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,35,36,46,46,18,47,52,45,24,42,43,44,65,37,40,34,44,47,45,48,49,41,41,41,53,57,54,63,60,58,65,72,71,75,87,40,55,70,65,55,49,58,45,67,60,36,24,57,71,34,37,37,33,24,46,50,57,59,39,27,40,38,35,12,14,36,44,51,70,70,63,60,88,67,32,57,75,67,85,42,35,50,49,69,72,69,69,71,59,62,47,42,19,51,38,47,64,44,56,.,.,40,40,57,75,61,64,41,65,59,68,65,.,64,45,38,56,41,53,56,79,67,54,51,51,51,81,70,72,46,54,57,61,54,60,68,38,38,51,41,33,45,58,41,52,48,41,51,45,58,51,41,39,61,75,55,55,72,41,39,32,30,44,47,58,27,40,55,55,43,35,40,39,47,56,22,18,34,26,16,31,39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180970073,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.789167,-86.060833,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,40,40,46,47,23,48,51,47,29,44,44,46,64,39,42,41,45,52,52,48,48,46,46,49,53,61,52,60,66,62,68,76,73,70,85,52,58,71,73,59,50,60,49,69,65,38,24,56,68,39,36,44,33,25,48,49,59,63,44,30,36,38,36,16,20,39,.,54,67,67,.,.,83,72,.,56,67,.,.,42,43,53,50,61,68,70,75,78,64,62,49,44,22,52,43,49,65,48,63,75,42,41,47,59,.,70,68,40,60,71,73,66,74,67,49,43,55,43,53,60,94,.,59,55,50,47,79,81,77,51,60,64,58,61,56,66,38,40,58,42,35,53,64,44,53,47,40,53,50,58,56,45,35,57,74,56,53,72,48,41,34,32,42,56,57,29,40,50,56,42,36,41,40,47,55,27,19,37,28,19,31,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
181090005,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.575596,-86.477914,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,45,42,50,52,34,48,51,51,31,47,47,49,69,40,44,42,48,59,58,48,53,48,45,48,59,62,55,63,74,65,77,82,81,77,80,55,60,75,77,67,52,59,58,73,73,46,32,56,66,44,44,46,40,34,53,55,58,66,40,33,49,41,38,20,31,45,48,56,71,77,66,69,84,65,33,56,74,79,88,44,49,55,51,67,72,71,68,72,65,61,56,49,34,52,48,49,67,.,.,73,42,48,50,57,71,65,72,53,70,55,59,61,61,59,52,40,58,48,51,70,63,65,55,53,65,56,89,74,65,48,56,51,63,62,63,72,51,46,59,43,36,49,66,46,49,54,44,56,51,64,61,45,41,58,66,62,60,64,51,43,35,38,49,63,69,32,40,51,60,49,45,50,47,49,60,27,29,43,32,23,36,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
