Monitor Name,Monitor Description,Latitude,Longitude,Metric,Seasonal Metric,Statistic,Values
180110001,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.997484,-86.395172,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,49,40,44,39,35,41,46,49,43,43,48,36,27,32,51,56,57,41,40,32,45,49,44,50,54,45,27,21,33,30,49,52,55,51,41,40,36,37,37,43,48,32,42,45,39,43,49,58,63,52,61,59,62,40,38,45,29,45,55,50,57,51,38,45,62,59,60,50,46,43,39,43,50,50,55,37,50,44,41,47,49,59,56,66,59,63,62,46,41,35,19,25,37,32,41,48,50,29,51,58,37,42,52,59,40,34,30,18,20,41,50,38,48,46,36,31,36,44,38,38,34,40,29,41,32,40,44,41,41,40,40,38,35,55,59,55,50,33,40,39,43,25,23,15,32,45,44,52,20,28,23,33,44,48,.,50,55,44,41,.,38,.,46,45,51,54,49,32,39,45,38,24,28,29,39,23,16,29,37,25,20,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180570005,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",40.065194,-86.008061,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,50,41,47,40,39,42,49,50,42,45,47,34,29,32,53,59,59,41,41,35,49,50,47,55,55,50,32,20,33,32,49,53,56,52,34,42,35,40,39,44,50,33,43,47,40,43,49,59,66,57,63,55,65,39,40,50,31,47,58,50,60,55,36,45,59,61,64,52,47,43,40,42,46,51,50,40,51,50,46,47,50,52,52,68,60,59,52,47,41,35,20,27,40,32,42,46,42,30,47,61,35,41,48,50,43,38,32,20,25,41,51,39,52,49,38,32,39,58,37,42,38,42,31,46,34,42,44,46,44,42,42,41,35,50,49,59,58,36,42,40,47,28,21,17,34,50,49,47,23,30,25,35,44,47,50,53,53,37,37,39,39,44,47,45,50,55,50,32,39,49,39,23,29,32,41,23,16,32,38,28,20,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180570006,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",40.068297,-85.992451,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180590003,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.935008,-85.840513,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,45,34,40,34,36,40,44,46,44,43,47,36,25,28,50,58,57,41,38,32,46,49,45,49,50,46,31,21,32,27,43,50,54,49,34,37,33,34,34,40,45,34,39,43,36,41,48,55,63,54,59,59,60,38,34,46,25,43,55,50,60,58,33,44,57,62,61,51,48,42,41,43,.,49,50,43,50,47,45,46,50,.,.,69,61,58,54,47,42,33,18,25,41,32,41,45,42,29,46,59,32,41,46,49,41,38,32,19,27,39,50,41,51,50,36,33,42,49,36,35,38,43,32,42,32,43,41,41,43,41,41,39,33,48,48,56,44,33,45,37,47,28,19,16,33,43,57,51,29,32,26,36,43,47,50,53,56,34,34,39,40,45,45,47,51,50,53,32,41,48,40,24,27,32,38,27,18,32,38,27,19,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180630004,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.758967,-86.397148,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,49,42,49,35,35,44,50,50,43,48,49,27,26,32,52,55,60,41,43,35,50,52,48,53,56,49,30,25,35,31,49,58,59,53,32,40,32,40,40,46,49,33,44,45,41,47,52,59,64,53,61,59,74,41,36,47,29,44,53,52,59,56,36,49,61,61,59,51,45,41,38,46,48,47,45,32,50,42,39,49,46,59,65,63,61,62,63,48,47,.,19,23,37,32,42,43,52,25,50,56,35,44,52,52,38,35,32,20,23,41,48,32,46,46,35,32,39,45,41,38,36,40,31,41,32,44,47,45,42,39,41,36,41,52,58,50,49,35,42,38,45,27,25,18,38,41,50,56,26,30,26,38,47,46,52,50,53,42,44,39,44,42,47,50,56,49,56,37,44,49,41,20,27,29,38,23,17,34,36,29,22,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180810002,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.417203,-86.152395,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,50,41,.,40,35,42,50,50,.,.,.,.,24,30,51,59,61,41,44,34,50,52,47,50,55,50,34,35,36,33,46,51,57,50,31,41,33,39,39,46,49,34,45,45,39,47,50,56,70,52,60,67,59,41,32,42,34,42,49,59,57,51,35,45,62,60,60,48,47,38,35,46,44,45,49,32,49,41,39,46,44,47,54,67,57,58,64,46,45,38,22,24,41,34,37,46,50,36,47,50,34,45,51,51,39,37,32,20,23,35,48,36,45,45,38,33,33,43,38,34,41,39,31,41,36,46,49,47,43,40,35,41,41,48,56,50,50,36,41,37,49,28,21,16,31,37,46,55,41,32,26,34,41,41,45,61,54,41,36,40,45,41,42,46,48,46,46,33,40,50,38,21,27,24,28,27,22,32,35,29,21,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180970050,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.858961,-86.021341,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,50,41,48,41,36,42,49,49,44,47,50,36,25,32,54,59,60,42,41,34,49,50,46,52,55,50,31,23,32,30,50,55,60,52,34,38,34,38,39,45,50,36,46,47,40,45,50,59,68,57,70,64,66,40,37,48,29,46,55,52,60,64,36,46,59,63,62,50,46,42,38,43,49,46,52,40,50,42,44,49,50,50,53,72,61,59,55,48,44,35,19,25,41,32,40,49,48,23,49,60,35,42,47,50,34,32,24,16,20,33,42,32,38,37,29,25,32,36,28,24,29,32,23,27,23,34,33,35,27,26,32,32,31,39,40,53,53,36,44,35,45,27,21,14,32,46,54,52,28,30,23,34,42,45,48,49,53,37,34,40,38,41,43,44,50,50,50,33,40,46,39,24,26,27,31,28,19,29,33,27,19,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180970057,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.749019,-86.186314,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,43,33,41,30,27,36,40,41,36,41,46,33,17,23,47,53,52,37,34,28,42,45,39,47,48,41,23,20,27,20,42,51,55,46,21,31,27,31,33,38,45,32,36,39,32,41,46,49,63,44,57,59,60,34,25,36,22,36,45,49,48,46,26,41,54,56,51,41,38,32,30,37,42,41,42,28,41,34,31,41,44,48,54,60,42,53,60,43,41,31,14,19,35,29,36,41,46,25,42,50,29,41,45,50,32,30,26,16,17,32,45,28,37,38,29,27,31,37,30,21,31,36,26,32,23,34,38,41,36,32,34,32,34,42,49,47,44,28,34,25,38,20,18,14,32,32,41,48,20,25,22,32,37,40,46,48,50,36,32,35,36,37,41,41,47,42,46,27,35,41,34,23,20,19,22,17,15,28,30,22,14,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
180970073,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.789167,-86.060833,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,41,30,31,32,28,30,32,33,37,37,44,32,17,23,46,47,43,34,27,23,32,42,36,40,44,41,20,20,25,18,30,46,50,41,23,25,24,24,23,34,40,29,34,34,32,40,35,42,55,44,66,66,62,33,29,38,23,34,41,42,46,58,29,40,52,51,50,44,44,31,25,38,39,42,42,30,45,35,.,45,48,48,50,.,.,59,.,44,38,31,14,18,35,21,35,44,45,21,36,51,27,40,46,43,32,33,27,15,17,32,41,28,41,39,28,27,31,41,35,24,34,33,26,34,22,44,40,37,37,34,41,35,37,41,43,46,48,32,39,32,39,22,20,15,31,39,49,54,27,29,25,32,39,40,46,46,48,35,35,41,41,38,41,45,48,47,51,32,40,47,38,23,24,25,28,22,17,32,28,23,17,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
181090005,"MethodCode=120','LandUse=COMMERCIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=44201'",39.575596,-86.477914,D8HourMax,,,".,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,50,41,49,34,34,41,48,48,43,47,49,39,24,32,52,58,59,41,42,32,48,52,47,53,55,49,33,30,36,32,46,55,59,54,32,41,36,37,39,44,48,37,42,42,38,45,50,59,64,52,58,59,62,37,35,44,32,43,49,50,57,50,31,46,59,59,59,50,49,39,36,46,45,45,48,31,50,40,38,45,.,45,74,63,60,57,62,45,43,37,21,25,39,32,39,43,50,31,47,54,41,41,50,47,39,35,31,18,21,37,42,34,44,45,39,32,35,43,39,32,36,38,29,41,34,43,45,41,44,37,38,38,38,50,54,48,49,38,45,38,46,28,24,16,35,41,50,57,37,32,25,35,.,.,.,55,54,41,41,40,40,41,43,48,52,46,46,34,41,49,38,23,26,27,32,26,22,32,34,26,22,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,."
